,108.956
2059,109.189
2060,109.063
2061,109.134
2062,109.131
2063,109.146
2064,109.15
2065,109.163
2066,109.206
2067,109.124
2068,109.265
2070,109.108
2071,109.126
2072,109.042
2073,109.214
2074,109.099
2075,108.951
2076,109.124
2077,109.112
2078,109.125
2079,109.23
2080,106.71
2081,109.099
2082,109.139
2083,109.167
2084,109.208
2085,109.176
2086,109.034
2087,109.153
2088,106.798
2089,109.245
2090,109.212
2091,105.528
2092,109.204
2093,109.109
2094,109.208
2095,109.09
2096,109.078
2097,109.255
2098,109.23
2099,109.157
2100,102.309
2101,109.114
2102,109.134
2103,108.966
2104,109.233
2105,109.022
2106,109.074
2107,109.151
2108,109.149
2109,109.128
2110,109.11
2111,109.144
2112,109.089
2113,109.155
2114,109.18
2115,109.143
2116,109.14
2117,109.124
2118,109.182
2119,109.146
2120,109.089
2121,109.173
2122,108.839
2123,109.084
2124,109.145
2126,106.951
2127,109.066
2128,109.147
2129,109.21
2130,109.124
2131,109.018
2132,109.16
2133,109.084
2134,109.154
2135,109.101
2136,109.102
2137,109.207
2138,109.123
2139,109.103
2140,109.123
2141,109.186
2142,109.229
2143,109.225
2144,109.165
2145,109.079
2146,109.197
2147,109.16
2148,109.096
2149,109.105
2150,109.115
2151,109.01
2152,109.14
2153,109.149
2154,109.12
2155,109.202
2156,109.163
2157,109.117
2158,108.915
2159,109.15
2160,109.065
2161,109.082
2162,109.14
